location,mean_X,mean_Y,mean_Z,std_X,std_Y,std_Z,skew_X,skew_Y,skew_Z,label
1,0.25027175,0.28962812,-0.93006118,0.021251494,0.031456201,0.027825675,1.442359361,-0.502912597,0.237447395,11
1,0.21212082,0.21999112,-0.95603851,0.098356815,0.094587448,0.074533158,1.093682412,0.600650615,0.949488448,11
1,0.19455064,0.27687611,-0.94150923,0.085642749,0.138254241,0.073779129,7.321313412,1.299346031,2.262405056,11
1,0.20865922,0.2340249,-0.95403513,0.062064144,0.093384829,0.086749925,0.490447819,-0.090522468,0.398339551,11
1,0.21961564,0.2299681,-0.95047934,0.052663502,0.09312663,0.071552139,-0.219146316,0.010809933,0.367171372,11
1,0.18241216,0.22657762,-0.95325163,0.063634024,0.149754603,0.043894587,1.027567199,-1.009586775,0.344349731,11
1,0.11784515,0.08365139,-0.94714341,0.107341032,0.280699778,0.09079908,0.35753208,-1.153209198,0.692763145,11
1,0.16464206,0.06005175,-0.91602978,0.073697983,0.365281716,0.081787601,0.265304516,-0.686677643,0.28961562,11
1,0.19717023,0.27473514,-0.9097499,0.055173363,0.247968395,0.097600681,-0.307333483,-0.116769873,-0.354426151,11
1,0.19645523,0.17998867,-0.96014691,0.086804332,0.149517071,0.076278758,0.188911189,0.660686769,-0.56389842,11
1,0.20364093,0.16307428,-0.96028549,0.043225423,0.09885368,0.069200574,0.766939907,2.103577454,2.343236139,11
1,0.19990248,0.12629227,-0.97790546,0.045203214,0.090101959,0.048332387,0.805537896,1.07271298,-0.294572814,11
1,0.21098806,0.17009081,-0.9617282,0.043613078,0.083110729,0.070641926,0.586098099,0.239323832,2.169071904,11
1,0.1834942,0.26042216,-0.95200086,0.047645663,0.087523353,0.043226304,1.101594078,-0.339909819,-0.654555488,11
1,0.15276006,0.32029097,-0.92766233,0.039877895,0.1423475,0.076853973,2.875689327,0.268275054,1.160854586,11
1,0.14308072,0.4240045,-0.8859126,0.053697316,0.159476327,0.054143584,3.410934787,-1.158489739,-0.800588188,11
1,0.12687497,0.46423459,-0.88341703,0.027454387,0.041791874,0.017259738,-1.914475619,0.846816627,0.672636999,11
1,0.13173275,0.45102388,-0.88814453,0.022882506,0.040484135,0.016916228,-0.219537168,0.164856726,0.185979626,11
1,0.12616063,0.37287628,-0.87820969,0.048489461,0.300778881,0.059535906,1.975477702,-1.932567633,-1.654857978,11
1,0.22912395,0.34627645,-0.91480957,0.067745315,0.110954981,0.064804417,-1.365470418,2.122342514,-1.634388786,11
1,0.25079835,0.29268567,-0.93027481,0.021168318,0.031165003,0.028109422,1.393409891,-0.50643976,0.241398829,11
1,0.21499238,0.22881865,-0.95313112,0.097806419,0.094277018,0.074364749,1.018012548,0.393876446,0.847295518,11
1,0.19944457,0.27150791,-0.9405128,0.085580697,0.13682799,0.071864667,7.208564075,1.445599008,2.482225239,11
1,0.20203798,0.23295097,-0.96136243,0.061397501,0.096228156,0.080395992,0.656277337,-0.038921782,0.079744984,11
1,0.21680527,0.23004836,-0.94824513,0.051955076,0.095223058,0.07433217,-0.206387405,0.058714052,0.693220371,11
1,0.17760202,0.33600911,-0.9218074,0.061391918,0.130281799,0.054410422,1.168790624,-1.142883656,-0.642394279,11
1,0.21945188,0.07341628,-0.9583415,0.067924918,0.178809685,0.08748048,0.259296844,1.527925327,0.484554355,11
1,0.14971114,0.3771242,-0.91011245,0.048755159,0.141061851,0.04551913,4.258103536,-0.83974042,-0.422431433,11
1,0.1497836,0.4244417,-0.8991957,0.005632961,0.013657049,0.005949154,0.376594738,-0.5753562,-0.845771268,11
1,0.17955368,0.07820059,-0.90964036,0.087413334,0.421608204,0.100974865,-1.071152772,-0.508449648,0.788539711,11
